CODE;OBJECT NAME ENG;OBJECT NAME ESP;OBJECT_TYPE_ENG;OBJECT_TYPE_ESP;CONSTELLATION_ENG;CONSTELLATION_ESP
NGC6735;;;Spiral Galaxy;Galaxia espiral;Pegasus;Pegaso
NGC6736;;;Supernova Remnant;Remanente de supernova;Draco;Dragón
NGC6737;;;Quasar;Quasar;Chamaeleon;Camaleón
NGC6738;;;Quasar;Quasar;Auriga;Cochero
NGC6739;;;Globular Cluster;Cumulo globar;Pegasus;Pegaso
NGC674;;;Reflection Nebula;Nebula de reflexión;Cancer;Cáncer
NGC6740;;;White Dwarf;Enana blanca;Eridanus;Erídano
NGC6741;;;Planetary Nebula;Nebulosa planetaria;Draco;Dragón
NGC6742;;;Elliptical Galaxy;Galaxia eliptica;Cancer;Cáncer
NGC6743;;;Galaxy;Galaxia;Auriga;Cochero
NGC6744;;;Dark Nebula;Nebulosa oscura;Corvus;Cuervo
NGC6745;;;Planetary Nebula;Nebulosa planetaria;Virgo;Virgo
NGC6746;;;Open Cluster;Cumulo abierto;Vela;Velas
NGC6747;;;Planetary Nebula;Nebulosa planetaria;Apus;Ave del Paraíso
NGC6748;;;Star;Estrella;Andromeda;Andrómeda
NGC6749;;;Elliptical Galaxy;Galaxia eliptica;Auriga;Cochero
NGC675;;;Planetary Nebula;Nebulosa planetaria;Cancer;Cáncer
NGC6750;;;Supernova Remnant;Remanente de supernova;Triangulum Australe;Triángulo Austral
NGC6751;;;Elliptical Galaxy;Galaxia eliptica;Pegasus;Pegaso
NGC6752;Great Peacock Globular;Gran Globular del Pavo;Globular Cluster;Cumulo globar;Pavo;Pavo Real
NGC6753;;;White Dwarf;Enana blanca;Aquila;Águila
NGC6754;;;Asterism;Asterismo;Lacerta;Lagarto
NGC6755;;;Asterism;Asterismo;Pyxis;Brújula
NGC6756;;;Double Star;Estrella doble;Delphinus;Delfín
NGC6757;;;Variable Star;Estrella variable;Leo Minor;León Menor
NGC6758;;;Star;Estrella;Scutum;Escudo
NGC6759;;;Galaxy Group;Grupo Galaxtico;Aquila;Águila
NGC676;;;White Dwarf;Enana blanca;Crux;Cruz del Sur
NGC6760;;;Emission Nebula;Nebula de emisión;Puppis;Popa
NGC6761;;;Open Cluster;Cumulo abierto;Serpens;Serpiente
NGC6762;;;Galaxy Group;Grupo Galaxtico;Aries;Aries
NGC6763;;;Reflection Nebula;Nebula de reflexión;Indus;Indio
NGC6764;;;Double Star;Estrella doble;Volans;Pez Volador
NGC6765;;;Reflection Nebula;Nebula de reflexión;Sextans;Sextante
NGC6766;;;Dark Nebula;Nebulosa oscura;Cancer;Cáncer
NGC6767;;;Quasar;Quasar;Taurus;Tauro
NGC6768;;;Reflection Nebula;Nebula de reflexión;Hercules;Hércules
NGC6769;;;Reflection Nebula;Nebula de reflexión;Caelum;Cincel
NGC677;;;Asterism;Asterismo;Lacerta;Lagarto
NGC6770;;;Emission Nebula;Nebula de emisión;Pavo;Pavo Real
NGC6771;;;Reflection Nebula;Nebula de reflexión;Cancer;Cáncer
NGC6772;;;Planetary Nebula;Nebulosa planetaria;Canes Venatici;Lebreles
NGC6773;;;Double Star;Estrella doble;Monoceros;Unicornio
NGC6774;;;HII Region;Región HIII;Pyxis;Brújula
NGC6775;;;Dark Nebula;Nebulosa oscura;Hydra;Hidra
NGC6776;;;Dark Nebula;Nebulosa oscura;Volans;Pez Volador
NGC6777;;;Elliptical Galaxy;Galaxia eliptica;Cygnus;Cisne
NGC6778;;;Elliptical Galaxy;Galaxia eliptica;Vulpecula;Zorrilla
NGC6779;;;Red Giant;Gigante roja;Lacerta;Lagarto
NGC678;;;Elliptical Galaxy;Galaxia eliptica;Scutum;Escudo
NGC6780;;;Reflection Nebula;Nebula de reflexión;Grus;Grulla
NGC6781;;;HII Region;Región HIII;Circinus;Compás
NGC6782;;;Red Giant;Gigante roja;Dorado;Dorado
NGC6783;;;Irregular Galaxy;Galaxia irregular;Sagittarius;Sagitario
NGC6784;;;Galaxy;Galaxia;Lynx;Lince
NGC6785;;;White Dwarf;Enana blanca;Lupus;Lobo
NGC6786;;;Star;Estrella;Orion;Orión
NGC6787;;;Reflection Nebula;Nebula de reflexión;Equuleus;Caballito
NGC6788;;;Planetary Nebula;Nebulosa planetaria;Circinus;Compás
NGC6789;;;Dark Nebula;Nebulosa oscura;Hercules;Hércules
NGC679;;;Supernova Remnant;Remanente de supernova;Equuleus;Caballito
NGC6790;;;Double Star;Estrella doble;Sagitta;Flecha
NGC6791;;;HII Region;Región HIII;Volans;Pez Volador
NGC6792;;;Planetary Nebula;Nebulosa planetaria;Lynx;Lince
NGC6793;;;HII Region;Región HIII;Pisces;Piscis
NGC6794;;;Star;Estrella;Canis Minor;Can Menor
NGC6795;;;HII Region;Región HIII;Andromeda;Andrómeda
NGC6796;;;Asterism;Asterismo;Ara;Altar
NGC6797;;;White Dwarf;Enana blanca;Cepheus;Cefeo
NGC6798;;;Galaxy Group;Grupo Galaxtico;Pavo;Pavo Real
NGC6799;;;Variable Star;Estrella variable;Triangulum Australe;Triángulo Austral
NGC68;;;Galaxy;Galaxia;Monoceros;Unicornio
NGC680;;;Reflection Nebula;Nebula de reflexión;Andromeda;Andrómeda
NGC6800;;;Red Giant;Gigante roja;Lepus;Liebre
NGC6801;;;Reflection Nebula;Nebula de reflexión;Crux;Cruz del Sur
NGC6802;;;White Dwarf;Enana blanca;Dorado;Dorado
NGC6803;;;Variable Star;Estrella variable;Ophiuchus;Ofiuco
NGC6804;;;Emission Nebula;Nebula de emisión;Lyra;Lira
NGC6805;;;Elliptical Galaxy;Galaxia eliptica;Circinus;Compás
NGC6806;;;Variable Star;Estrella variable;Circinus;Compás
NGC6807;;;HII Region;Región HIII;Crater;Copa
NGC6808;;;Globular Cluster;Cumulo globar;Leo;León
NGC6809;Messier 55;Messier 55;Globular Cluster;Cumulo globar;Sagittarius;Sagitario
NGC681;;;Dark Nebula;Nebulosa oscura;Sagitta;Flecha
NGC6810;;;Asterism;Asterismo;Perseus;Perseo
NGC6811;;;HII Region;Región HIII;Lacerta;Lagarto
NGC6812;;;Spiral Galaxy;Galaxia espiral;Lupus;Lobo
NGC6813;;;Quasar;Quasar;Perseus;Perseo
NGC6814;;;Reflection Nebula;Nebula de reflexión;Aquarius;Acuario
NGC6815;;;Open Cluster;Cumulo abierto;Perseus;Perseo
NGC6816;;;Variable Star;Estrella variable;Perseus;Perseo
NGC6817;;;Variable Star;Estrella variable;Delphinus;Delfín
NGC6818;;;Globular Cluster;Cumulo globar;Lyra;Lira
NGC6819;;;Reflection Nebula;Nebula de reflexión;Corona Australis;Corona Austral
NGC682;;;Globular Cluster;Cumulo globar;Lupus;Lobo
NGC6820;;;Irregular Galaxy;Galaxia irregular;Microscopium;Microscopio
NGC6821;;;Elliptical Galaxy;Galaxia eliptica;Lyra;Lira
NGC6822;;;Reflection Nebula;Nebula de reflexión;Auriga;Cochero
NGC6823;;;Red Giant;Gigante roja;Pictor;Pintor
NGC6824;;;Emission Nebula;Nebula de emisión;Leo;León
NGC6825;;;Elliptical Galaxy;Galaxia eliptica;Crux;Cruz del Sur
NGC6826;Blinking Planetary;Planetaria Parpadeante;Planetary Nebula;Nebulosa planetaria;Cygnus;Cisne
NGC6827;;;White Dwarf;Enana blanca;Crater;Copa
NGC6828;;;Red Giant;Gigante roja;Octans;Octante
NGC6829;;;Emission Nebula;Nebula de emisión;Ophiuchus;Ofiuco
NGC683;;;Red Giant;Gigante roja;Musca;Mosca
NGC6830;;;Spiral Galaxy;Galaxia espiral;Ara;Altar
NGC6831;;;Galaxy Group;Grupo Galaxtico;Gemini;Géminis
NGC6832;;;Galaxy Group;Grupo Galaxtico;Draco;Dragón
NGC6833;;;Galaxy;Galaxia;Telescopium;Telescopio
NGC6834;;;Asterism;Asterismo;Orion;Orión
NGC6835;;;Irregular Galaxy;Galaxia irregular;Crater;Copa
NGC6836;;;Quasar;Quasar;Canes Venatici;Lebreles
NGC6837;;;Galaxy;Galaxia;Triangulum;Triángulo
NGC6838;;;Reflection Nebula;Nebula de reflexión;Lynx;Lince
NGC6839;;;Spiral Galaxy;Galaxia espiral;Corvus;Cuervo
NGC684;;;Quasar;Quasar;Octans;Octante
NGC6840;;;Dark Nebula;Nebulosa oscura;Canes Venatici;Lebreles
NGC6841;;;Elliptical Galaxy;Galaxia eliptica;Caelum;Cincel
NGC6842;;;HII Region;Región HIII;Corona Borealis;Corona Boreal
NGC6843;;;Galaxy;Galaxia;Sculptor;Escultor
NGC6844;;;Galaxy Group;Grupo Galaxtico;Centaurus;Centauro
NGC6845;;;Globular Cluster;Cumulo globar;Canes Venatici;Lebreles
NGC6846;;;Asterism;Asterismo;Dorado;Dorado
NGC6847;;;Emission Nebula;Nebula de emisión;Bootes;Boyero
NGC6848;;;Star;Estrella;Lacerta;Lagarto
NGC6849;;;Galaxy Group;Grupo Galaxtico;Perseus;Perseo
NGC685;;;Star;Estrella;Pegasus;Pegaso
NGC6850;;;White Dwarf;Enana blanca;Lupus;Lobo
NGC6851;;;Reflection Nebula;Nebula de reflexión;Libra;Libra
NGC6852;;;Spiral Galaxy;Galaxia espiral;Apus;Ave del Paraíso
NGC6853;Dumbbell Nebula;Nebulosa de la Pesa;Planetary Nebula;Nebulosa planetaria;Vulpecula;Zorrilla
NGC6854;;;Star;Estrella;Grus;Grulla
NGC6855;;;Dark Nebula;Nebulosa oscura;Grus;Grulla
NGC6856;;;Supernova Remnant;Remanente de supernova;Chamaeleon;Camaleón
NGC6857;;;Planetary Nebula;Nebulosa planetaria;Leo Minor;León Menor
NGC6858;;;Emission Nebula;Nebula de emisión;Scutum;Escudo
NGC6859;;;Dark Nebula;Nebulosa oscura;Draco;Dragón
NGC686;;;Supernova Remnant;Remanente de supernova;Hercules;Hércules
NGC6860;;;Asterism;Asterismo;Gemini;Géminis
NGC6861;;;Elliptical Galaxy;Galaxia eliptica;Caelum;Cincel
NGC6862;;;Irregular Galaxy;Galaxia irregular;Equuleus;Caballito
NGC6863;;;Irregular Galaxy;Galaxia irregular;Gemini;Géminis
NGC6864;Messier 75;Messier 75;Globular Cluster;Cumulo globar;Sagittarius;Sagitario
NGC6865;;;White Dwarf;Enana blanca;Leo Minor;León Menor
NGC6866;;;Supernova Remnant;Remanente de supernova;Ara;Altar
NGC6867;;;Irregular Galaxy;Galaxia irregular;Draco;Dragón
NGC6868;;;Reflection Nebula;Nebula de reflexión;Lupus;Lobo
NGC6869;;;Variable Star;Estrella variable;Pavo;Pavo Real
NGC687;;;Asterism;Asterismo;Vulpecula;Zorrilla
NGC6870;;;Star;Estrella;Camelopardalis;Jirafa
NGC6871;;;Globular Cluster;Cumulo globar;Antlia;Antlia
NGC6872;;;Spiral Galaxy;Galaxia espiral;Sagitta;Flecha
NGC6873;;;Quasar;Quasar;Aquila;Águila
NGC6874;;;White Dwarf;Enana blanca;Lynx;Lince
NGC6875;;;Irregular Galaxy;Galaxia irregular;Pavo;Pavo Real
NGC6876;;;Quasar;Quasar;Monoceros;Unicornio
NGC6877;;;Reflection Nebula;Nebula de reflexión;Scorpius;Escorpión
NGC6878;;;Star;Estrella;Caelum;Cincel
NGC6879;;;Galaxy Group;Grupo Galaxtico;Antlia;Antlia
NGC688;;;Open Cluster;Cumulo abierto;Cassiopeia;Casiopea
NGC6880;;;Variable Star;Estrella variable;Lyra;Lira
NGC6881;;;Red Giant;Gigante roja;Cepheus;Cefeo
NGC6882;;;Elliptical Galaxy;Galaxia eliptica;Ursa Minor;Osa Menor
NGC6883;;;Quasar;Quasar;Pictor;Pintor
NGC6884;;;HII Region;Región HIII;Delphinus;Delfín
NGC6885;;;Variable Star;Estrella variable;Capricornus;Capricornio
NGC6886;;;Red Giant;Gigante roja;Monoceros;Unicornio
NGC6887;;;Irregular Galaxy;Galaxia irregular;Camelopardalis;Jirafa
NGC6888;;;White Dwarf;Enana blanca;Musca;Mosca
NGC6889;;;Quasar;Quasar;Aquarius;Acuario
NGC689;;;Galaxy;Galaxia;Columba;Paloma
NGC6890;;;Reflection Nebula;Nebula de reflexión;Vulpecula;Zorrilla
NGC6891;;;Galaxy;Galaxia;Vulpecula;Zorrilla
NGC6892;;;Elliptical Galaxy;Galaxia eliptica;Canis Major;Can Mayor
NGC6893;;;Globular Cluster;Cumulo globar;Delphinus;Delfín
NGC6894;;;Quasar;Quasar;Lynx;Lince
NGC6895;;;Dark Nebula;Nebulosa oscura;Eridanus;Erídano
NGC6896;;;HII Region;Región HIII;Ara;Altar
NGC6897;;;Spiral Galaxy;Galaxia espiral;Libra;Libra
NGC6898;;;HII Region;Región HIII;Triangulum Australe;Triángulo Austral
NGC6899;;;Dark Nebula;Nebulosa oscura;Lepus;Liebre
NGC69;;;Planetary Nebula;Nebulosa planetaria;Pictor;Pintor
NGC690;;;Irregular Galaxy;Galaxia irregular;Cetus;Ballena
NGC6900;;;Reflection Nebula;Nebula de reflexión;Fornax;Horno
NGC6901;;;Galaxy Group;Grupo Galaxtico;Cassiopeia;Casiopea
NGC6902;;;White Dwarf;Enana blanca;Triangulum Australe;Triángulo Austral
NGC6903;;;Galaxy Group;Grupo Galaxtico;Corona Borealis;Corona Boreal
NGC6904;;;Double Star;Estrella doble;Perseus;Perseo
NGC6905;;;Variable Star;Estrella variable;Vela;Velas
NGC6906;;;White Dwarf;Enana blanca;Grus;Grulla
NGC6907;;;Variable Star;Estrella variable;Pavo;Pavo Real
NGC6908;;;Asterism;Asterismo;Circinus;Compás
NGC6909;;;Galaxy;Galaxia;Apus;Ave del Paraíso
NGC691;;;Star;Estrella;Crux;Cruz del Sur
NGC6910;;;Star;Estrella;Chamaeleon;Camaleón
NGC6911;;;Galaxy Group;Grupo Galaxtico;Leo Minor;León Menor
NGC6912;;;Asterism;Asterismo;Triangulum;Triángulo
NGC6913;Messier 29;Messier 29;Open Cluster;Cumulo abierto;Cygnus;Cisne
NGC6914;;;Globular Cluster;Cumulo globar;Lupus;Lobo
NGC6915;;;Quasar;Quasar;Sculptor;Escultor
NGC6916;;;Reflection Nebula;Nebula de reflexión;Corvus;Cuervo
NGC6917;;;Elliptical Galaxy;Galaxia eliptica;Cetus;Ballena
NGC6918;;;HII Region;Región HIII;Canis Minor;Can Menor
NGC6919;;;Emission Nebula;Nebula de emisión;Perseus;Perseo
NGC692;;;Asterism;Asterismo;Orion;Orión
NGC6920;;;Galaxy Group;Grupo Galaxtico;Taurus;Tauro
NGC6921;;;Double Star;Estrella doble;Piscis Austrinus;Pez Austral
NGC6922;;;Globular Cluster;Cumulo globar;Chamaeleon;Camaleón
NGC6923;;;Elliptical Galaxy;Galaxia eliptica;Grus;Grulla
NGC6924;;;HII Region;Región HIII;Equuleus;Caballito
NGC6925;;;Galaxy Group;Grupo Galaxtico;Piscis Austrinus;Pez Austral
NGC6926;;;Planetary Nebula;Nebulosa planetaria;Gemini;Géminis
NGC6927;;;Emission Nebula;Nebula de emisión;Lynx;Lince
NGC6928;;;HII Region;Región HIII;Virgo;Virgo
NGC6929;;;Planetary Nebula;Nebulosa planetaria;Canes Venatici;Lebreles
NGC693;;;Globular Cluster;Cumulo globar;Ophiuchus;Ofiuco
NGC6930;;;Open Cluster;Cumulo abierto;Caelum;Cincel
NGC6931;;;Variable Star;Estrella variable;Reticulum;Retículo
NGC6932;;;Spiral Galaxy;Galaxia espiral;Pictor;Pintor
NGC6933;;;Red Giant;Gigante roja;Andromeda;Andrómeda
NGC6934;;;White Dwarf;Enana blanca;Sagittarius;Sagitario
NGC6935;;;Open Cluster;Cumulo abierto;Delphinus;Delfín
NGC6936;;;Irregular Galaxy;Galaxia irregular;Caelum;Cincel
NGC6937;;;Galaxy Group;Grupo Galaxtico;Draco;Dragón
NGC6938;;;White Dwarf;Enana blanca;Leo Minor;León Menor
NGC6939;;;Galaxy Group;Grupo Galaxtico;Carina;Quilla
NGC694;;;Galaxy;Galaxia;Taurus;Tauro
NGC6940;;;Spiral Galaxy;Galaxia espiral;Carina;Quilla
NGC6941;;;White Dwarf;Enana blanca;Corona Australis;Corona Austral
NGC6942;;;Asterism;Asterismo;Lyra;Lira
NGC6943;;;Emission Nebula;Nebula de emisión;Gemini;Géminis
NGC6944;;;White Dwarf;Enana blanca;Ursa Minor;Osa Menor
NGC6945;;;Variable Star;Estrella variable;Pegasus;Pegaso
NGC6946;;;Asterism;Asterismo;Libra;Libra
NGC6947;;;Reflection Nebula;Nebula de reflexión;Indus;Indio
NGC6948;;;Double Star;Estrella doble;Microscopium;Microscopio
NGC6949;;;White Dwarf;Enana blanca;Microscopium;Microscopio
NGC695;;;Supernova Remnant;Remanente de supernova;Circinus;Compás
NGC6950;;;Galaxy Group;Grupo Galaxtico;Ursa Minor;Osa Menor
NGC6951;;;Planetary Nebula;Nebulosa planetaria;Chamaeleon;Camaleón
NGC6952;;;Quasar;Quasar;Leo Minor;León Menor
NGC6953;;;Star;Estrella;Indus;Indio
NGC6954;;;Asterism;Asterismo;Ophiuchus;Ofiuco
NGC6955;;;Globular Cluster;Cumulo globar;Ophiuchus;Ofiuco
NGC6956;;;Emission Nebula;Nebula de emisión;Orion;Orión
NGC6957;;;Variable Star;Estrella variable;Ursa Minor;Osa Menor
NGC6958;;;Galaxy Group;Grupo Galaxtico;Mensa;Mesa
NGC6959;;;Galaxy Group;Grupo Galaxtico;Hydrus;Hidra Macho
NGC696;;;Asterism;Asterismo;Cancer;Cáncer
NGC6960;Veil Nebula (Western);Nebulosa del Velo (Occidental);Supernova Remnant;Remanente de supernova;Cygnus;Cisne
NGC6961;;;Galaxy;Galaxia;Lepus;Liebre
NGC6962;;;Galaxy;Galaxia;Corona Borealis;Corona Boreal
NGC6963;;;Planetary Nebula;Nebulosa planetaria;Camelopardalis;Jirafa
NGC6964;;;Galaxy Group;Grupo Galaxtico;Chamaeleon;Camaleón
NGC6965;;;Elliptical Galaxy;Galaxia eliptica;Cetus;Ballena
NGC6966;;;Variable Star;Estrella variable;Lupus;Lobo
NGC6967;;;Star;Estrella;Hydra;Hidra
NGC6968;;;Planetary Nebula;Nebulosa planetaria;Corona Australis;Corona Austral
NGC6969;;;Galaxy Group;Grupo Galaxtico;Piscis Austrinus;Pez Austral
NGC697;;;Supernova Remnant;Remanente de supernova;Ursa Major;Osa Mayor
NGC6970;;;Globular Cluster;Cumulo globar;Columba;Paloma
NGC6971;;;Star;Estrella;Vulpecula;Zorrilla
NGC6972;;;Star;Estrella;Lynx;Lince
NGC6973;;;Supernova Remnant;Remanente de supernova;Cancer;Cáncer
NGC6974;;;Asterism;Asterismo;Columba;Paloma
NGC6975;;;Irregular Galaxy;Galaxia irregular;Monoceros;Unicornio
NGC6976;;;Reflection Nebula;Nebula de reflexión;Piscis Austrinus;Pez Austral
NGC6977;;;Galaxy;Galaxia;Sagittarius;Sagitario
NGC6978;;;Emission Nebula;Nebula de emisión;Sagitta;Flecha
NGC6979;;;Reflection Nebula;Nebula de reflexión;Corona Borealis;Corona Boreal
NGC698;;;Planetary Nebula;Nebulosa planetaria;Canis Minor;Can Menor
NGC6980;;;Planetary Nebula;Nebulosa planetaria;Crux;Cruz del Sur
NGC6981;;;Quasar;Quasar;Phoenix;Fénix
NGC6982;;;Emission Nebula;Nebula de emisión;Ophiuchus;Ofiuco
NGC6983;;;Supernova Remnant;Remanente de supernova;Ara;Altar
NGC6984;;;Spiral Galaxy;Galaxia espiral;Andromeda;Andrómeda
NGC6985;;;Planetary Nebula;Nebulosa planetaria;Sagitta;Flecha
NGC6986;;;Double Star;Estrella doble;Vela;Velas
NGC6987;;;HII Region;Región HIII;Crux;Cruz del Sur
NGC6988;;;Double Star;Estrella doble;Puppis;Popa
NGC6989;;;Dark Nebula;Nebulosa oscura;Lepus;Liebre
NGC699;;;Planetary Nebula;Nebulosa planetaria;Lupus;Lobo
NGC6990;;;Emission Nebula;Nebula de emisión;Puppis;Popa
NGC6991;;;Planetary Nebula;Nebulosa planetaria;Sextans;Sextante
NGC6992;Veil Nebula (Eastern);Nebulosa del Velo (Oriental);Supernova Remnant;Remanente de supernova;Cygnus;Cisne
NGC6993;;;Reflection Nebula;Nebula de reflexión;Crater;Copa
NGC6994;;;Spiral Galaxy;Galaxia espiral;Leo Minor;León Menor
NGC6995;;;Dark Nebula;Nebulosa oscura;Aquila;Águila
NGC6996;;;Elliptical Galaxy;Galaxia eliptica;Pictor;Pintor
NGC6997;;;Galaxy;Galaxia;Circinus;Compás
NGC6998;;;Reflection Nebula;Nebula de reflexión;Delphinus;Delfín
NGC6999;;;Quasar;Quasar;Delphinus;Delfín
NGC7;;;Elliptical Galaxy;Galaxia eliptica;Sagitta;Flecha
NGC70;;;HII Region;Región HIII;Sagittarius;Sagitario
NGC700;;;Quasar;Quasar;Corona Borealis;Corona Boreal
NGC7000;North America Nebula;Nebulosa de Norteamérica;Emission Nebula;Nebula de emisión;Cygnus;Cisne
NGC7001;;;Elliptical Galaxy;Galaxia eliptica;Camelopardalis;Jirafa
NGC7002;;;Red Giant;Gigante roja;Lyra;Lira
NGC7003;;;Dark Nebula;Nebulosa oscura;Aquarius;Acuario
NGC7004;;;Irregular Galaxy;Galaxia irregular;Telescopium;Telescopio
NGC7005;;;Spiral Galaxy;Galaxia espiral;Gemini;Géminis
NGC7006;;;White Dwarf;Enana blanca;Cepheus;Cefeo
NGC7007;;;Supernova Remnant;Remanente de supernova;Pegasus;Pegaso
NGC7008;;;Galaxy;Galaxia;Pegasus;Pegaso
NGC7009;Saturn Nebula;Nebulosa de Saturno;Planetary Nebula;Nebulosa planetaria;Aquarius;Acuario
NGC701;;;Irregular Galaxy;Galaxia irregular;Canis Major;Can Mayor
NGC7010;;;Asterism;Asterismo;Corvus;Cuervo
NGC7011;;;Double Star;Estrella doble;Lyra;Lira
NGC7012;;;White Dwarf;Enana blanca;Pegasus;Pegaso
NGC7013;;;Variable Star;Estrella variable;Triangulum;Triángulo
NGC7014;;;Dark Nebula;Nebulosa oscura;Tucana;Tucán
NGC7015;;;Spiral Galaxy;Galaxia espiral;Perseus;Perseo
NGC7016;;;Galaxy;Galaxia;Volans;Pez Volador
NGC7017;;;Asterism;Asterismo;Lupus;Lobo
NGC7018;;;Variable Star;Estrella variable;Triangulum Australe;Triángulo Austral
NGC7019;;;Galaxy;Galaxia;Lepus;Liebre
NGC702;;;Emission Nebula;Nebula de emisión;Pictor;Pintor
NGC7020;;;HII Region;Región HIII;Ursa Major;Osa Mayor
NGC7021;;;Emission Nebula;Nebula de emisión;Ursa Major;Osa Mayor
NGC7022;;;Globular Cluster;Cumulo globar;Fornax;Horno
NGC7023;;;Quasar;Quasar;Indus;Indio
NGC7024;;;Galaxy;Galaxia;Sagitta;Flecha
NGC7025;;;Galaxy;Galaxia;Chamaeleon;Camaleón
NGC7026;;;Globular Cluster;Cumulo globar;Mensa;Mesa
NGC7027;Magic Carpet Nebula;Nebulosa de la Alfombra Mágica;Planetary Nebula;Nebulosa planetaria;Cygnus;Cisne
NGC7028;;;Planetary Nebula;Nebulosa planetaria;Tucana;Tucán
NGC7029;;;Dark Nebula;Nebulosa oscura;Horologium;Reloj
NGC703;;;Planetary Nebula;Nebulosa planetaria;Eridanus;Erídano
NGC7030;;;HII Region;Región HIII;Tucana;Tucán
NGC7031;;;Globular Cluster;Cumulo globar;Reticulum;Retículo
NGC7032;;;Quasar;Quasar;Delphinus;Delfín
NGC7033;;;Quasar;Quasar;Aquila;Águila
NGC7034;;;Spiral Galaxy;Galaxia espiral;Telescopium;Telescopio
NGC7035;;;Galaxy;Galaxia;Equuleus;Caballito
NGC7036;;;Asterism;Asterismo;Cetus;Ballena
NGC7037;;;Reflection Nebula;Nebula de reflexión;Phoenix;Fénix
NGC7038;;;White Dwarf;Enana blanca;Auriga;Cochero
NGC7039;;;White Dwarf;Enana blanca;Microscopium;Microscopio
NGC704;;;White Dwarf;Enana blanca;Camelopardalis;Jirafa
NGC7040;;;White Dwarf;Enana blanca;Canes Venatici;Lebreles
NGC7041;;;Elliptical Galaxy;Galaxia eliptica;Serpens;Serpiente
NGC7042;;;Emission Nebula;Nebula de emisión;Piscis Austrinus;Pez Austral
NGC7043;;;Emission Nebula;Nebula de emisión;Hydra;Hidra
NGC7044;;;Planetary Nebula;Nebulosa planetaria;Centaurus;Centauro
NGC7045;;;Supernova Remnant;Remanente de supernova;Dorado;Dorado
NGC7046;;;Galaxy;Galaxia;Canes Venatici;Lebreles
NGC7047;;;Irregular Galaxy;Galaxia irregular;Pavo;Pavo Real
NGC7048;;;White Dwarf;Enana blanca;Telescopium;Telescopio
NGC7049;;;Supernova Remnant;Remanente de supernova;Hercules;Hércules
NGC705;;;Asterism;Asterismo;Sagittarius;Sagitario
NGC7050;;;HII Region;Región HIII;Ursa Major;Osa Mayor
NGC7051;;;White Dwarf;Enana blanca;Lynx;Lince
NGC7052;;;Planetary Nebula;Nebulosa planetaria;Corvus;Cuervo
NGC7053;;;Emission Nebula;Nebula de emisión;Crater;Copa
NGC7054;;;Asterism;Asterismo;Aquila;Águila
NGC7055;;;Open Cluster;Cumulo abierto;Cancer;Cáncer
NGC7056;;;Red Giant;Gigante roja;Fornax;Horno
NGC7057;;;Galaxy Group;Grupo Galaxtico;Auriga;Cochero
NGC7058;;;HII Region;Región HIII;Dorado;Dorado
NGC7059;;;White Dwarf;Enana blanca;Aries;Aries
NGC706;;;Spiral Galaxy;Galaxia espiral;Canis Major;Can Mayor
NGC7060;;;Variable Star;Estrella variable;Leo Minor;León Menor
NGC7061;;;Irregular Galaxy;Galaxia irregular;Apus;Ave del Paraíso
NGC7062;;;Supernova Remnant;Remanente de supernova;Virgo;Virgo
NGC7063;;;HII Region;Región HIII;Gemini;Géminis
NGC7064;;;Supernova Remnant;Remanente de supernova;Telescopium;Telescopio
NGC7065;;;Double Star;Estrella doble;Sagitta;Flecha
NGC7066;;;Open Cluster;Cumulo abierto;Sculptor;Escultor
NGC7067;;;Quasar;Quasar;Pyxis;Brújula
NGC7068;;;Galaxy;Galaxia;Ophiuchus;Ofiuco
NGC7069;;;Emission Nebula;Nebula de emisión;Reticulum;Retículo
NGC707;;;Spiral Galaxy;Galaxia espiral;Telescopium;Telescopio
NGC7070;;;Galaxy Group;Grupo Galaxtico;Aries;Aries
NGC7071;;;HII Region;Región HIII;Cepheus;Cefeo
NGC7072;;;Elliptical Galaxy;Galaxia eliptica;Ara;Altar
NGC7073;;;Galaxy;Galaxia;Octans;Octante
NGC7074;;;HII Region;Región HIII;Lyra;Lira
NGC7075;;;Galaxy Group;Grupo Galaxtico;Delphinus;Delfín
NGC7076;;;Emission Nebula;Nebula de emisión;Canis Minor;Can Menor
NGC7077;;;Quasar;Quasar;Antlia;Antlia
NGC7078;Messier 15;Messier 15;Globular Cluster;Cumulo globar;Pegasus;Pegaso
NGC7079;;;Irregular Galaxy;Galaxia irregular;Vulpecula;Zorrilla
NGC708;;;Reflection Nebula;Nebula de reflexión;Corvus;Cuervo
NGC7080;;;Emission Nebula;Nebula de emisión;Phoenix;Fénix
NGC7081;;;Quasar;Quasar;Cetus;Ballena
NGC7082;;;Variable Star;Estrella variable;Sextans;Sextante
NGC7083;;;Emission Nebula;Nebula de emisión;Circinus;Compás
NGC7084;;;Dark Nebula;Nebulosa oscura;Cassiopeia;Casiopea
NGC7085;;;Double Star;Estrella doble;Crux;Cruz del Sur
NGC7086;;;Planetary Nebula;Nebulosa planetaria;Crux;Cruz del Sur
NGC7087;;;Galaxy Group;Grupo Galaxtico;Vela;Velas
NGC7088;;;Galaxy;Galaxia;Caelum;Cincel
NGC7089;Messier 2;Messier 2;Globular Cluster;Cumulo globar;Aquarius;Acuario
NGC709;;;Planetary Nebula;Nebulosa planetaria;Canis Minor;Can Menor
NGC7090;;;Emission Nebula;Nebula de emisión;Corvus;Cuervo
